genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date,binary_class,species_key
Acinetobacter,baumannii,SRR3159168,Susceptible,CAZ,=,8,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,Sterile Body Site,USA,NA,S,acinetobacter_baumannii
Acinetobacter,baumannii,SRR3223173,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,STERILE BODY SITE,USA,NA,R,acinetobacter_baumannii
Acinetobacter,baumannii,SRR3223920,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,WOUND,USA,NA,R,acinetobacter_baumannii
Acinetobacter,baumannii,SRR3224994,Susceptible,CAZ,<=,2,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,WOUND,USA,NA,S,acinetobacter_baumannii
Acinetobacter,baumannii,SRR3225044,Susceptible,CAZ,=,4,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,WOUND,USA,NA,S,acinetobacter_baumannii
Acinetobacter,baumannii,SRR3225231,Intermediate,CAZ,NA,16,mg/L,Broth dilution,BD Phoenix,CLSI,2013,NA,WOUND,USA,NA,R,acinetobacter_baumannii
Campylobacter,jejuni,SRR15054055,Susceptible,TET,<=,4,mg/L,Broth dilution,NA,CLSI,CLSI,34867917,NA,NA,NA,S,campylobacter_jejuni
Campylobacter,jejuni,SRR3194381,Resistant,TET,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Animal-Cattle-Steer,USA,NA,R,campylobacter_jejuni
Campylobacter,jejuni,SRR3402080,Resistant,TET,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Animal-Cattle-Dairy Cow,USA,NA,R,campylobacter_jejuni
Campylobacter,jejuni,SRR3583311,Resistant,TET,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Animal-Cattle-Heifer,USA,NA,R,campylobacter_jejuni
Campylobacter,jejuni,SRR3726393,Susceptible,TET,=,0.12,mg/L,Broth dilution,NA,CLSI,2013,NA,Animal-Cattle-Dairy Cow,USA,NA,S,campylobacter_jejuni
Campylobacter,jejuni,SRR3995976,Susceptible,TET,=,0.25,mg/L,Broth dilution,NA,CLSI,2013,NA,Animal-Cattle-Dairy Cow,USA,NA,S,campylobacter_jejuni
Escherichia,coli,ERR2209392,Resistant,GEN,NA,32,mg/L,Broth dilution,NA,CLSI,2013,29951045,Slaughterhouse,Italy,NA,R,escherichia_coli
Escherichia,coli,SRR2239584,Susceptible,GEN,=,1,mg/L,Broth dilution,Sensititre,CLSI,2013,26142410,cattle,USA,NA,S,escherichia_coli
Escherichia,coli,SRR3057122,Susceptible,GEN,<=,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,tacheal aspirate,USA,NA,S,escherichia_coli
Escherichia,coli,SRR3932429,Resistant,GEN,NA,16,mg/L,Broth dilution,VITEK 2,CLSI,2013,NA,blood,USA,NA,R,escherichia_coli
Escherichia,coli,SRR3996237,Susceptible,GEN,<,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood_whole,USA,NA,S,escherichia_coli
Escherichia,coli,SRR4035120,Resistant,GEN,NA,8,mg/L,Broth dilution,NA,CLSI,2013,NA,Urine,USA,NA,R,escherichia_coli
Klebsiella,pneumoniae,SRR4017929,Resistant,GEN,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Urine,USA,NA,R,klebsiella_pneumoniae
Klebsiella,pneumoniae,SRR5385505,Susceptible,GEN,<=,2,mg/L,Broth dilution,BD Phoenix,CLSI,2013,28512093,NA,2012-11-30,NA,S,klebsiella_pneumoniae
Klebsiella,pneumoniae,SRR5385882,Susceptible,GEN,<=,2,mg/L,Broth dilution,BD Phoenix,CLSI,2013,28512093,NA,2013-08-05,NA,S,klebsiella_pneumoniae
Klebsiella,pneumoniae,SRR5385929,Susceptible,GEN,<=,2,mg/L,Broth dilution,BD Phoenix,CLSI,2013,28512093,NA,2013-07-24,NA,S,klebsiella_pneumoniae
Klebsiella,pneumoniae,SRR5386266,Resistant,GEN,NA,8,mg/L,Broth dilution,BD Phoenix,CLSI,2013,28512093,NA,2012-07-12,NA,R,klebsiella_pneumoniae
