dataset,accession,assembly_path,status
training,DRR124693,data/camda_amr_2025/processed/assemblies/train/DRR124693.fasta,present
training,DRR170693,data/camda_amr_2025/processed/assemblies/train/DRR170693.fasta,missing
training,DRR170697,data/camda_amr_2025/processed/assemblies/train/DRR170697.fasta,missing
training,DRR170701,data/camda_amr_2025/processed/assemblies/train/DRR170701.fasta,missing
training,ERR016635,data/camda_amr_2025/processed/assemblies/train/ERR016635.fasta,missing
training,ERR016637,data/camda_amr_2025/processed/assemblies/train/ERR016637.fasta,missing
training,ERR016639,data/camda_amr_2025/processed/assemblies/train/ERR016639.fasta,missing
training,ERR016640,data/camda_amr_2025/processed/assemblies/train/ERR016640.fasta,missing
training,ERR016645,data/camda_amr_2025/processed/assemblies/train/ERR016645.fasta,missing
training,ERR016646,data/camda_amr_2025/processed/assemblies/train/ERR016646.fasta,missing
training,ERR016648,data/camda_amr_2025/processed/assemblies/train/ERR016648.fasta,missing
training,ERR016650,data/camda_amr_2025/processed/assemblies/train/ERR016650.fasta,missing
training,ERR016652,data/camda_amr_2025/processed/assemblies/train/ERR016652.fasta,missing
training,ERR016653,data/camda_amr_2025/processed/assemblies/train/ERR016653.fasta,missing
training,ERR016654,data/camda_amr_2025/processed/assemblies/train/ERR016654.fasta,missing
training,ERR016655,data/camda_amr_2025/processed/assemblies/train/ERR016655.fasta,missing
training,ERR016656,data/camda_amr_2025/processed/assemblies/train/ERR016656.fasta,missing
training,ERR016658,data/camda_amr_2025/processed/assemblies/train/ERR016658.fasta,missing
training,ERR016663,data/camda_amr_2025/processed/assemblies/train/ERR016663.fasta,missing
training,ERR016664,data/camda_amr_2025/processed/assemblies/train/ERR016664.fasta,missing
training,ERR016666,data/camda_amr_2025/processed/assemblies/train/ERR016666.fasta,missing
training,ERR016668,data/camda_amr_2025/processed/assemblies/train/ERR016668.fasta,missing
training,ERR016669,data/camda_amr_2025/processed/assemblies/train/ERR016669.fasta,missing
training,ERR016670,data/camda_amr_2025/processed/assemblies/train/ERR016670.fasta,missing
training,ERR016672,data/camda_amr_2025/processed/assemblies/train/ERR016672.fasta,missing
training,ERR016679,data/camda_amr_2025/processed/assemblies/train/ERR016679.fasta,missing
training,ERR016681,data/camda_amr_2025/processed/assemblies/train/ERR016681.fasta,missing
training,ERR016694,data/camda_amr_2025/processed/assemblies/train/ERR016694.fasta,missing
training,ERR016695,data/camda_amr_2025/processed/assemblies/train/ERR016695.fasta,missing
training,ERR016699,data/camda_amr_2025/processed/assemblies/train/ERR016699.fasta,missing
training,ERR016700,data/camda_amr_2025/processed/assemblies/train/ERR016700.fasta,missing
training,ERR016713,data/camda_amr_2025/processed/assemblies/train/ERR016713.fasta,missing
training,ERR016721,data/camda_amr_2025/processed/assemblies/train/ERR016721.fasta,missing
training,ERR016725,data/camda_amr_2025/processed/assemblies/train/ERR016725.fasta,missing
training,ERR016728,data/camda_amr_2025/processed/assemblies/train/ERR016728.fasta,missing
training,ERR016729,data/camda_amr_2025/processed/assemblies/train/ERR016729.fasta,missing
training,ERR016736,data/camda_amr_2025/processed/assemblies/train/ERR016736.fasta,missing
training,ERR016745,data/camda_amr_2025/processed/assemblies/train/ERR016745.fasta,missing
training,ERR016746,data/camda_amr_2025/processed/assemblies/train/ERR016746.fasta,missing
training,ERR016747,data/camda_amr_2025/processed/assemblies/train/ERR016747.fasta,missing
training,ERR016750,data/camda_amr_2025/processed/assemblies/train/ERR016750.fasta,missing
training,ERR016751,data/camda_amr_2025/processed/assemblies/train/ERR016751.fasta,missing
training,ERR016753,data/camda_amr_2025/processed/assemblies/train/ERR016753.fasta,missing
training,ERR016756,data/camda_amr_2025/processed/assemblies/train/ERR016756.fasta,missing
training,ERR016758,data/camda_amr_2025/processed/assemblies/train/ERR016758.fasta,missing
training,ERR016759,data/camda_amr_2025/processed/assemblies/train/ERR016759.fasta,missing
training,ERR016766,data/camda_amr_2025/processed/assemblies/train/ERR016766.fasta,missing
training,ERR016769,data/camda_amr_2025/processed/assemblies/train/ERR016769.fasta,missing
training,ERR016772,data/camda_amr_2025/processed/assemblies/train/ERR016772.fasta,missing
training,ERR016777,data/camda_amr_2025/processed/assemblies/train/ERR016777.fasta,missing
training,ERR016782,data/camda_amr_2025/processed/assemblies/train/ERR016782.fasta,missing
training,ERR016794,data/camda_amr_2025/processed/assemblies/train/ERR016794.fasta,missing
training,ERR016798,data/camda_amr_2025/processed/assemblies/train/ERR016798.fasta,missing
training,ERR016800,data/camda_amr_2025/processed/assemblies/train/ERR016800.fasta,missing
training,ERR016802,data/camda_amr_2025/processed/assemblies/train/ERR016802.fasta,missing
training,ERR016839,data/camda_amr_2025/processed/assemblies/train/ERR016839.fasta,missing
training,ERR016840,data/camda_amr_2025/processed/assemblies/train/ERR016840.fasta,missing
training,ERR016843,data/camda_amr_2025/processed/assemblies/train/ERR016843.fasta,missing
training,ERR016847,data/camda_amr_2025/processed/assemblies/train/ERR016847.fasta,missing
training,ERR016857,data/camda_amr_2025/processed/assemblies/train/ERR016857.fasta,missing
training,ERR016860,data/camda_amr_2025/processed/assemblies/train/ERR016860.fasta,missing
training,ERR018818,data/camda_amr_2025/processed/assemblies/train/ERR018818.fasta,missing
training,ERR018823,data/camda_amr_2025/processed/assemblies/train/ERR018823.fasta,missing
training,ERR018826,data/camda_amr_2025/processed/assemblies/train/ERR018826.fasta,missing
training,ERR019702,data/camda_amr_2025/processed/assemblies/train/ERR019702.fasta,missing
training,ERR019703,data/camda_amr_2025/processed/assemblies/train/ERR019703.fasta,missing
training,ERR019710,data/camda_amr_2025/processed/assemblies/train/ERR019710.fasta,missing
training,ERR019714,data/camda_amr_2025/processed/assemblies/train/ERR019714.fasta,missing
training,ERR019719,data/camda_amr_2025/processed/assemblies/train/ERR019719.fasta,missing
training,ERR019720,data/camda_amr_2025/processed/assemblies/train/ERR019720.fasta,missing
training,ERR019723,data/camda_amr_2025/processed/assemblies/train/ERR019723.fasta,missing
training,ERR019725,data/camda_amr_2025/processed/assemblies/train/ERR019725.fasta,missing
training,ERR019731,data/camda_amr_2025/processed/assemblies/train/ERR019731.fasta,missing
training,ERR019734,data/camda_amr_2025/processed/assemblies/train/ERR019734.fasta,missing
training,ERR023417,data/camda_amr_2025/processed/assemblies/train/ERR023417.fasta,missing
training,ERR023426,data/camda_amr_2025/processed/assemblies/train/ERR023426.fasta,missing
training,ERR023429,data/camda_amr_2025/processed/assemblies/train/ERR023429.fasta,missing
training,ERR023434,data/camda_amr_2025/processed/assemblies/train/ERR023434.fasta,missing
training,ERR023438,data/camda_amr_2025/processed/assemblies/train/ERR023438.fasta,missing
training,ERR023439,data/camda_amr_2025/processed/assemblies/train/ERR023439.fasta,missing
training,ERR023449,data/camda_amr_2025/processed/assemblies/train/ERR023449.fasta,missing
training,ERR023451,data/camda_amr_2025/processed/assemblies/train/ERR023451.fasta,missing
training,ERR023453,data/camda_amr_2025/processed/assemblies/train/ERR023453.fasta,missing
training,ERR023457,data/camda_amr_2025/processed/assemblies/train/ERR023457.fasta,missing
training,ERR024211,data/camda_amr_2025/processed/assemblies/train/ERR024211.fasta,missing
training,ERR024218,data/camda_amr_2025/processed/assemblies/train/ERR024218.fasta,missing
training,ERR024225,data/camda_amr_2025/processed/assemblies/train/ERR024225.fasta,missing
training,ERR024232,data/camda_amr_2025/processed/assemblies/train/ERR024232.fasta,missing
training,ERR024276,data/camda_amr_2025/processed/assemblies/train/ERR024276.fasta,missing
training,ERR024277,data/camda_amr_2025/processed/assemblies/train/ERR024277.fasta,missing
training,ERR024278,data/camda_amr_2025/processed/assemblies/train/ERR024278.fasta,missing
training,ERR029343,data/camda_amr_2025/processed/assemblies/train/ERR029343.fasta,missing
training,ERR029344,data/camda_amr_2025/processed/assemblies/train/ERR029344.fasta,missing
training,ERR029345,data/camda_amr_2025/processed/assemblies/train/ERR029345.fasta,missing
training,ERR029347,data/camda_amr_2025/processed/assemblies/train/ERR029347.fasta,missing
training,ERR029348,data/camda_amr_2025/processed/assemblies/train/ERR029348.fasta,missing
training,ERR029350,data/camda_amr_2025/processed/assemblies/train/ERR029350.fasta,missing
training,ERR029351,data/camda_amr_2025/processed/assemblies/train/ERR029351.fasta,missing
training,ERR029353,data/camda_amr_2025/processed/assemblies/train/ERR029353.fasta,missing
training,ERR029357,data/camda_amr_2025/processed/assemblies/train/ERR029357.fasta,missing
training,ERR029358,data/camda_amr_2025/processed/assemblies/train/ERR029358.fasta,missing
training,ERR029359,data/camda_amr_2025/processed/assemblies/train/ERR029359.fasta,missing
training,ERR029360,data/camda_amr_2025/processed/assemblies/train/ERR029360.fasta,missing
training,ERR029363,data/camda_amr_2025/processed/assemblies/train/ERR029363.fasta,missing
training,ERR029367,data/camda_amr_2025/processed/assemblies/train/ERR029367.fasta,missing
training,ERR029369,data/camda_amr_2025/processed/assemblies/train/ERR029369.fasta,missing
training,ERR029373,data/camda_amr_2025/processed/assemblies/train/ERR029373.fasta,missing
training,ERR029374,data/camda_amr_2025/processed/assemblies/train/ERR029374.fasta,missing
training,ERR029376,data/camda_amr_2025/processed/assemblies/train/ERR029376.fasta,missing
training,ERR029378,data/camda_amr_2025/processed/assemblies/train/ERR029378.fasta,missing
training,ERR029379,data/camda_amr_2025/processed/assemblies/train/ERR029379.fasta,missing
training,ERR029380,data/camda_amr_2025/processed/assemblies/train/ERR029380.fasta,missing
training,ERR029388,data/camda_amr_2025/processed/assemblies/train/ERR029388.fasta,missing
training,ERR029389,data/camda_amr_2025/processed/assemblies/train/ERR029389.fasta,missing
training,ERR029456,data/camda_amr_2025/processed/assemblies/train/ERR029456.fasta,missing
training,ERR029462,data/camda_amr_2025/processed/assemblies/train/ERR029462.fasta,missing
training,ERR029463,data/camda_amr_2025/processed/assemblies/train/ERR029463.fasta,missing
training,ERR029464,data/camda_amr_2025/processed/assemblies/train/ERR029464.fasta,missing
training,ERR029465,data/camda_amr_2025/processed/assemblies/train/ERR029465.fasta,missing
training,ERR029472,data/camda_amr_2025/processed/assemblies/train/ERR029472.fasta,missing
training,ERR029473,data/camda_amr_2025/processed/assemblies/train/ERR029473.fasta,missing
training,ERR029476,data/camda_amr_2025/processed/assemblies/train/ERR029476.fasta,missing
training,ERR029478,data/camda_amr_2025/processed/assemblies/train/ERR029478.fasta,missing
training,ERR030145,data/camda_amr_2025/processed/assemblies/train/ERR030145.fasta,missing
training,ERR030148,data/camda_amr_2025/processed/assemblies/train/ERR030148.fasta,missing
training,ERR030150,data/camda_amr_2025/processed/assemblies/train/ERR030150.fasta,missing
training,ERR030153,data/camda_amr_2025/processed/assemblies/train/ERR030153.fasta,missing
training,ERR030158,data/camda_amr_2025/processed/assemblies/train/ERR030158.fasta,missing
training,ERR030159,data/camda_amr_2025/processed/assemblies/train/ERR030159.fasta,missing
training,ERR030161,data/camda_amr_2025/processed/assemblies/train/ERR030161.fasta,missing
training,ERR030162,data/camda_amr_2025/processed/assemblies/train/ERR030162.fasta,missing
training,ERR030167,data/camda_amr_2025/processed/assemblies/train/ERR030167.fasta,missing
training,ERR030168,data/camda_amr_2025/processed/assemblies/train/ERR030168.fasta,missing
training,ERR030170,data/camda_amr_2025/processed/assemblies/train/ERR030170.fasta,missing
training,ERR030171,data/camda_amr_2025/processed/assemblies/train/ERR030171.fasta,missing
training,ERR030172,data/camda_amr_2025/processed/assemblies/train/ERR030172.fasta,missing
training,ERR030175,data/camda_amr_2025/processed/assemblies/train/ERR030175.fasta,missing
training,ERR030181,data/camda_amr_2025/processed/assemblies/train/ERR030181.fasta,missing
training,ERR030183,data/camda_amr_2025/processed/assemblies/train/ERR030183.fasta,missing
training,ERR030184,data/camda_amr_2025/processed/assemblies/train/ERR030184.fasta,missing
training,ERR030186,data/camda_amr_2025/processed/assemblies/train/ERR030186.fasta,missing
training,ERR030189,data/camda_amr_2025/processed/assemblies/train/ERR030189.fasta,missing
training,ERR030191,data/camda_amr_2025/processed/assemblies/train/ERR030191.fasta,missing
training,ERR030193,data/camda_amr_2025/processed/assemblies/train/ERR030193.fasta,missing
training,ERR030194,data/camda_amr_2025/processed/assemblies/train/ERR030194.fasta,missing
training,ERR030197,data/camda_amr_2025/processed/assemblies/train/ERR030197.fasta,missing
training,ERR030201,data/camda_amr_2025/processed/assemblies/train/ERR030201.fasta,missing
training,ERR030202,data/camda_amr_2025/processed/assemblies/train/ERR030202.fasta,missing
training,ERR030204,data/camda_amr_2025/processed/assemblies/train/ERR030204.fasta,missing
training,ERR030210,data/camda_amr_2025/processed/assemblies/train/ERR030210.fasta,missing
training,ERR030213,data/camda_amr_2025/processed/assemblies/train/ERR030213.fasta,missing
training,ERR030214,data/camda_amr_2025/processed/assemblies/train/ERR030214.fasta,missing
training,ERR030215,data/camda_amr_2025/processed/assemblies/train/ERR030215.fasta,missing
training,ERR030222,data/camda_amr_2025/processed/assemblies/train/ERR030222.fasta,missing
training,ERR030226,data/camda_amr_2025/processed/assemblies/train/ERR030226.fasta,missing
training,ERR030231,data/camda_amr_2025/processed/assemblies/train/ERR030231.fasta,missing
training,ERR030234,data/camda_amr_2025/processed/assemblies/train/ERR030234.fasta,missing
training,ERR030238,data/camda_amr_2025/processed/assemblies/train/ERR030238.fasta,missing
training,ERR030239,data/camda_amr_2025/processed/assemblies/train/ERR030239.fasta,missing
training,ERR030241,data/camda_amr_2025/processed/assemblies/train/ERR030241.fasta,missing
training,ERR030242,data/camda_amr_2025/processed/assemblies/train/ERR030242.fasta,missing
training,ERR030244,data/camda_amr_2025/processed/assemblies/train/ERR030244.fasta,missing
training,ERR030245,data/camda_amr_2025/processed/assemblies/train/ERR030245.fasta,missing
training,ERR030246,data/camda_amr_2025/processed/assemblies/train/ERR030246.fasta,missing
training,ERR030247,data/camda_amr_2025/processed/assemblies/train/ERR030247.fasta,missing
training,ERR030250,data/camda_amr_2025/processed/assemblies/train/ERR030250.fasta,missing
training,ERR030251,data/camda_amr_2025/processed/assemblies/train/ERR030251.fasta,missing
training,ERR030252,data/camda_amr_2025/processed/assemblies/train/ERR030252.fasta,missing
training,ERR030253,data/camda_amr_2025/processed/assemblies/train/ERR030253.fasta,missing
training,ERR030254,data/camda_amr_2025/processed/assemblies/train/ERR030254.fasta,missing
training,ERR030258,data/camda_amr_2025/processed/assemblies/train/ERR030258.fasta,missing
training,ERR030265,data/camda_amr_2025/processed/assemblies/train/ERR030265.fasta,missing
training,ERR030268,data/camda_amr_2025/processed/assemblies/train/ERR030268.fasta,missing
training,ERR030270,data/camda_amr_2025/processed/assemblies/train/ERR030270.fasta,missing
training,ERR030276,data/camda_amr_2025/processed/assemblies/train/ERR030276.fasta,missing
training,ERR030277,data/camda_amr_2025/processed/assemblies/train/ERR030277.fasta,missing
training,ERR030278,data/camda_amr_2025/processed/assemblies/train/ERR030278.fasta,missing
training,ERR030280,data/camda_amr_2025/processed/assemblies/train/ERR030280.fasta,missing
training,ERR030281,data/camda_amr_2025/processed/assemblies/train/ERR030281.fasta,missing
training,ERR031661,data/camda_amr_2025/processed/assemblies/train/ERR031661.fasta,missing
training,ERR031665,data/camda_amr_2025/processed/assemblies/train/ERR031665.fasta,missing
training,ERR031670,data/camda_amr_2025/processed/assemblies/train/ERR031670.fasta,missing
training,ERR051794,data/camda_amr_2025/processed/assemblies/train/ERR051794.fasta,missing
training,ERR051801,data/camda_amr_2025/processed/assemblies/train/ERR051801.fasta,missing
training,ERR051829,data/camda_amr_2025/processed/assemblies/train/ERR051829.fasta,missing
training,ERR051833,data/camda_amr_2025/processed/assemblies/train/ERR051833.fasta,missing
training,ERR051858,data/camda_amr_2025/processed/assemblies/train/ERR051858.fasta,missing
