genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date,conflict_kind
Streptococcus,pneumoniae,ERR016633,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,Viet Nam,NA,measurement
Streptococcus,pneumoniae,ERR016633,Resistant,ERY,NA,512,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA,measurement
Streptococcus,pneumoniae,ERR016633,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA,measurement
Streptococcus,pneumoniae,ERR016644,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA,measurement
Streptococcus,pneumoniae,ERR016644,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Thailand,NA,measurement
Streptococcus,pneumoniae,ERR016644,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Thailand,NA,measurement
Streptococcus,pneumoniae,ERR016644,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA,measurement
Streptococcus,pneumoniae,ERR016657,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,South Korea,NA,measurement
Streptococcus,pneumoniae,ERR016657,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA,measurement
Streptococcus,pneumoniae,ERR016657,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Korea,NA,measurement
Streptococcus,pneumoniae,ERR016657,Resistant,ERY,NA,8,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA,measurement
Streptococcus,pneumoniae,ERR016657,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Tracheal aspirate,South Korea,NA,measurement
Streptococcus,pneumoniae,ERR016691,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,1999,NA,measurement
Streptococcus,pneumoniae,ERR016691,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Singapore,NA,measurement
Streptococcus,pneumoniae,ERR016691,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Singapore,NA,measurement
Streptococcus,pneumoniae,ERR016691,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Hong Kong,NA,measurement
Streptococcus,pneumoniae,ERR016691,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Malaysia,NA,measurement
Streptococcus,pneumoniae,ERR016723,Susceptible,ERY,NA,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Denmark,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016723,Susceptible,ERY,NA,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Denmark,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016723,Susceptible,ERY,NA,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Swab,Denmark,NA,phenotype;measurement
Streptococcus,pneumoniae,ERR016723,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Denmark,NA,phenotype;measurement
