genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Neisseria,gonorrhoeae,DRR124693,Intermediate,TET,Neisseria gonorrhoeae,0.5,mg/L,Disk diffusion,E-test,CLSI,2013,32602459,NA,Japan,NA
Staphylococcus,aureus,DRR170693,Intermediate,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,31474962,blood specimens of a persistent bacteremia patient,Japan,NA
Staphylococcus,aureus,DRR170697,Intermediate,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,31474962,NA,2015,NA
Staphylococcus,aureus,DRR170701,Intermediate,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,31474962,NA,2015,NA
Streptococcus,pneumoniae,ERR016635,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA
Streptococcus,pneumoniae,ERR016637,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,Viet Nam,NA
Streptococcus,pneumoniae,ERR016639,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA
Streptococcus,pneumoniae,ERR016640,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA
Streptococcus,pneumoniae,ERR016645,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Thailand,NA
Streptococcus,pneumoniae,ERR016646,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA
Streptococcus,pneumoniae,ERR016648,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Tracheal aspirate,South Korea,NA
Streptococcus,pneumoniae,ERR016650,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA
Streptococcus,pneumoniae,ERR016652,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Thailand,NA
Streptococcus,pneumoniae,ERR016653,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Thailand,NA
Streptococcus,pneumoniae,ERR016654,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Taiwan,NA
Streptococcus,pneumoniae,ERR016655,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA
Streptococcus,pneumoniae,ERR016656,Resistant,ERY,NA,8,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA
Streptococcus,pneumoniae,ERR016658,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA
Streptococcus,pneumoniae,ERR016663,Resistant,ERY,NA,8,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,South Korea,NA
Streptococcus,pneumoniae,ERR016664,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Tracheal aspirate,South Korea,NA
Streptococcus,pneumoniae,ERR016666,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Nasal/Nasopharynx,South Korea,NA
Streptococcus,pneumoniae,ERR016668,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Korea,NA
Streptococcus,pneumoniae,ERR016669,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Georgia,NA
Streptococcus,pneumoniae,ERR016670,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR016672,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR016679,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR016681,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR016694,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood & CSF,Singapore,NA
Streptococcus,pneumoniae,ERR016695,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Singapore,NA
Streptococcus,pneumoniae,ERR016699,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Hong Kong,NA
Streptococcus,pneumoniae,ERR016700,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Hong Kong,NA
Streptococcus,pneumoniae,ERR016713,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR016721,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR016725,Susceptible,ERY,NA,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Denmark,NA
Streptococcus,pneumoniae,ERR016728,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Nasopharynx,Denmark,NA
Streptococcus,pneumoniae,ERR016729,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Denmark,NA
Streptococcus,pneumoniae,ERR016736,Susceptible,ERY,NA,0.12,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Germany,NA
Streptococcus,pneumoniae,ERR016745,Intermediate,ERY,NA,0.5,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Spain,NA
Streptococcus,pneumoniae,ERR016746,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016747,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016750,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016751,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016753,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood & CSF,South Africa,NA
Streptococcus,pneumoniae,ERR016756,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016758,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016759,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016766,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood & CSF,South Africa,NA
Streptococcus,pneumoniae,ERR016769,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016772,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Pleural fluid,South Africa,NA
Streptococcus,pneumoniae,ERR016777,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood & Pleural,South Africa,NA
Streptococcus,pneumoniae,ERR016782,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016794,Resistant,ERY,NA,3,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016798,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,South Africa,NA
Streptococcus,pneumoniae,ERR016800,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,South Africa,NA
Streptococcus,pneumoniae,ERR016802,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,South Africa,NA
Streptococcus,pneumoniae,ERR016839,Susceptible,ERY,NA,0.12,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Germany,NA
Streptococcus,pneumoniae,ERR016840,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Germany,NA
Streptococcus,pneumoniae,ERR016843,Susceptible,ERY,NA,0.12,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Germany,NA
Streptococcus,pneumoniae,ERR016847,Susceptible,ERY,NA,0.06,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,Germany,NA
Streptococcus,pneumoniae,ERR016857,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR016860,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR018818,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Russia,NA
Streptococcus,pneumoniae,ERR018823,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,Russia,NA
Streptococcus,pneumoniae,ERR018826,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Tracheal secretion,Russia,NA
Streptococcus,pneumoniae,ERR019702,Resistant,ERY,NA,128,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,Viet Nam,NA
Streptococcus,pneumoniae,ERR019703,Resistant,ERY,NA,512,mg/L,Broth dilution,NA,CLSI,2013,NA,CSF,Viet Nam,NA
Streptococcus,pneumoniae,ERR019710,Resistant,ERY,NA,256,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Viet Nam,NA
Streptococcus,pneumoniae,ERR019714,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR019719,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR019720,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR019723,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR019725,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR019731,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR019734,Resistant,ERY,NA,32,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR023417,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA
Streptococcus,pneumoniae,ERR023426,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA
Streptococcus,pneumoniae,ERR023429,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA
Streptococcus,pneumoniae,ERR023434,Susceptible,ERY,<=,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Sputum,United Kingdom,NA
Streptococcus,pneumoniae,ERR023438,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,USA,NA
Streptococcus,pneumoniae,ERR023439,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA
Streptococcus,pneumoniae,ERR023449,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA
Streptococcus,pneumoniae,ERR023451,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA
Streptococcus,pneumoniae,ERR023453,Resistant,ERY,NA,16,mg/L,Broth dilution,NA,CLSI,2013,NA,Blood,United Kingdom,NA
Streptococcus,pneumoniae,ERR023457,Susceptible,ERY,<=,0.125,mg/L,Broth dilution,NA,CLSI,2013,NA,Nasopharynx,United Kingdom,NA
Streptococcus,pneumoniae,ERR024211,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Lung,France,NA
Streptococcus,pneumoniae,ERR024218,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,France,NA
Streptococcus,pneumoniae,ERR024225,Resistant,ERY,NA,4,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA
Streptococcus,pneumoniae,ERR024232,Resistant,ERY,NA,64,mg/L,Broth dilution,NA,CLSI,2013,NA,Respiratory tract,Spain,NA
Streptococcus,pneumoniae,ERR024276,Intermediate,ERY,NA,0.5,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Canada,NA
Streptococcus,pneumoniae,ERR024277,Resistant,ERY,NA,2,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Canada,NA
Streptococcus,pneumoniae,ERR024278,Resistant,ERY,NA,1,mg/L,Broth dilution,NA,CLSI,2013,NA,NA,Canada,NA
Staphylococcus,aureus,ERR029343,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029344,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029345,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029347,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029348,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029350,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029351,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029353,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029357,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029358,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029359,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029360,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029363,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029367,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029369,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029373,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029374,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029376,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029378,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029379,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029380,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029388,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029389,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029456,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029462,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029463,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029464,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029465,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029472,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029473,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029476,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR029478,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030145,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030148,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030150,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030153,Susceptible,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030158,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030159,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030161,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030162,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030167,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030168,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030170,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030171,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030172,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030175,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030181,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030183,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030184,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
Staphylococcus,aureus,ERR030186,Resistant,ERY,NA,NA,NA,Disk diffusion,NA,CLSI,2013,25903077,NA,Singapore,NA
